base_doc_id,query_count,max_relevance,avg_relevance,qrels_segment_count,domain
msmarco_v2.1_doc_01_23,94,1,0.010638297872340425,1,01
msmarco_v2.1_doc_47_1307014819,6,2,1.125,4,47
msmarco_v2.1_doc_26_1738424403,5,2,0.8,1,26
msmarco_v2.1_doc_41_1691097616,5,2,1.4615384615384615,8,41
msmarco_v2.1_doc_34_1636826970,4,3,2.066666666666667,6,34
msmarco_v2.1_doc_51_56496611,4,3,1.2,3,51
msmarco_v2.1_doc_20_1076942216,4,3,1.7142857142857142,5,20
msmarco_v2.1_doc_47_571374193,4,3,2.0,7,47
msmarco_v2.1_doc_20_1449387181,4,3,0.7857142857142857,11,20
msmarco_v2.1_doc_51_880750803,4,3,1.2142857142857142,9,51
msmarco_v2.1_doc_11_828456012,4,3,1.1,6,11
msmarco_v2.1_doc_11_828461508,4,3,1.3636363636363635,6,11
msmarco_v2.1_doc_20_1589508824,4,3,1.875,11,20
msmarco_v2.1_doc_09_182123050,4,2,1.25,4,09
msmarco_v2.1_doc_43_1494451270,4,2,1.25,4,43
msmarco_v2.1_doc_27_1145621019,4,2,0.8571428571428571,6,27
msmarco_v2.1_doc_27_1304618375,4,2,0.9473684210526315,12,27
msmarco_v2.1_doc_19_1520136715,4,2,1.0,5,19
msmarco_v2.1_doc_09_914336366,4,2,0.8888888888888888,8,09
msmarco_v2.1_doc_01_711349916,4,1,0.3888888888888889,11,01
msmarco_v2.1_doc_26_1513086371,4,1,0.5,1,26
msmarco_v2.1_doc_49_985134740,4,1,0.5,2,49
msmarco_v2.1_doc_26_1807138519,4,1,0.25,1,26
msmarco_v2.1_doc_33_1335269963,4,1,0.2,4,33
msmarco_v2.1_doc_05_1599795943,4,1,0.25,4,05
msmarco_v2.1_doc_12_381945376,4,1,0.3333333333333333,9,12
msmarco_v2.1_doc_24_1121732391,4,1,0.2,3,24
msmarco_v2.1_doc_37_194232472,4,0,0.0,8,37
msmarco_v2.1_doc_27_117463636,3,3,1.125,11,27
msmarco_v2.1_doc_08_1572680298,3,3,2.1666666666666665,6,08
msmarco_v2.1_doc_13_417129682,3,3,1.7777777777777777,12,13
msmarco_v2.1_doc_19_737486624,3,3,1.5,4,19
msmarco_v2.1_doc_54_261509457,3,3,2.5,3,54
msmarco_v2.1_doc_27_1514682840,3,3,2.0,4,27
msmarco_v2.1_doc_32_414181203,3,3,2.2142857142857144,12,32
msmarco_v2.1_doc_55_459300958,3,3,1.6666666666666667,3,55
msmarco_v2.1_doc_48_1058255629,3,3,1.3333333333333333,6,48
msmarco_v2.1_doc_50_431421440,3,3,0.38095238095238093,18,50
msmarco_v2.1_doc_26_1722629455,3,3,2.25,3,26
msmarco_v2.1_doc_11_842402130,3,3,1.5,3,11
msmarco_v2.1_doc_57_1085458769,3,3,0.8,4,57
msmarco_v2.1_doc_28_600707631,3,3,1.1818181818181819,9,28
msmarco_v2.1_doc_05_1607548104,3,3,2.0,3,05
msmarco_v2.1_doc_17_458328791,3,3,1.875,4,17
msmarco_v2.1_doc_06_1560245275,3,3,1.6666666666666667,3,06
msmarco_v2.1_doc_18_2194783148,3,3,1.4444444444444444,7,18
msmarco_v2.1_doc_33_676380976,3,3,1.8181818181818181,9,33
msmarco_v2.1_doc_14_1201287489,3,3,1.75,4,14
msmarco_v2.1_doc_26_1550527398,3,3,1.6666666666666667,1,26
msmarco_v2.1_doc_22_980267014,3,3,1.2222222222222223,7,22
msmarco_v2.1_doc_19_1259239606,3,3,1.5,3,19
msmarco_v2.1_doc_17_458289946,3,3,1.7142857142857142,10,17
msmarco_v2.1_doc_14_1249490656,3,3,1.6,4,14
msmarco_v2.1_doc_39_1026269213,3,3,2.0,4,39
msmarco_v2.1_doc_04_58034340,3,3,1.5,4,04
